Time h,Pressure Exact bar,Pressure Observed bar,Pressure Change bar,Log Pressure Derivative bar,Radial Flow Window
0.02263234,257.70098388,257.69117623,42.30882377,3.26844223,0
0.02474207,257.45147349,257.40955148,42.59044852,2.80265951,0
0.02704846,257.20196184,257.19160139,42.80839861,2.45002771,0
0.02956985,256.95244903,256.97283336,43.02716664,2.75480613,0
0.03232628,256.70293517,256.70055644,43.29944356,2.77655052,0
0.03533965,256.45342033,256.47791247,43.52208753,2.85072788,0
0.03863392,256.20390461,256.19241341,43.80758659,2.81347280,0
0.04223528,255.95438807,255.97641016,44.02358984,2.81005505,0
0.04617234,255.70487080,255.69152032,44.30847968,2.77320967,0
0.05047641,255.45535285,255.48208477,44.51791523,2.74201052,0
0.05518169,255.20583428,255.20275618,44.79724382,2.53849336,0
0.06032559,254.95631514,255.02959763,44.97040237,2.85735573,0
0.06594899,254.70679548,254.69343174,45.30656826,2.86851542,0
0.07209658,254.45727534,254.51828396,45.48171604,3.04661397,0
0.07881724,254.20775477,254.15037195,45.84962805,3.20326365,0
0.08616438,253.95823381,253.94730133,46.05269867,2.47446792,0
0.09419641,253.70871248,253.70929736,46.29070264,2.88081867,0
0.10297716,253.45919082,253.43379461,46.56620539,2.63634012,1
0.11257642,253.20966885,253.23936901,46.76063099,2.49924904,1
0.12307051,252.96014660,252.98830278,47.01169722,2.63129658,1
0.13454283,252.71062411,252.77033967,47.22966033,2.65800733,1
0.14708457,252.46110137,252.51451224,47.48548776,3.08866951,1
0.16079542,252.21157843,252.21978347,47.78021653,3.38035357,1
0.17578436,251.96205529,251.91196328,48.08803672,2.98291175,1
0.19217053,251.71253197,251.68807863,48.31192137,2.77886512,1
0.21008418,251.46300849,251.41662980,48.58337020,2.64858171,1
0.22966769,251.21348486,251.21596821,48.78403179,2.55260131,1
0.25107672,250.96396110,250.96162791,49.03837209,2.87001743,1
0.27448146,250.71443721,250.70438681,49.29561319,2.96985902,1
0.30006792,250.46491320,250.43224972,49.56775028,2.51087475,1
0.32803948,250.21538909,250.25682269,49.74317731,2.60176056,1
0.35861849,249.96586489,249.96848519,50.03151481,3.39863936,1
0.39204799,249.71634060,249.65101428,50.34898572,2.88462033,1
0.42859370,249.46681623,249.45430081,50.54569919,2.62211792,1
0.46854612,249.21729178,249.18362104,50.81637896,2.68869524,1
0.51222279,248.96776727,248.97504014,51.02495986,2.67716682,1
0.55997089,248.71824270,248.70641532,51.29358468,2.80456908,1
0.61216995,248.46871807,248.47512493,51.52487507,2.36494211,1
0.66923488,248.21919339,248.28486373,51.71513627,2.75075846,1
0.73161925,247.96966866,247.98480148,52.01519852,3.13800286,1
0.79981893,247.72014389,247.72551386,52.27448614,2.78335278,1
0.87437601,247.47061909,247.48866807,52.51133193,2.85126643,1
0.95588311,247.22109424,247.21727483,52.78272517,2.92825739,1
1.04498810,246.97156936,246.96670538,53.03329462,2.93052544,1
1.14239923,246.72204446,246.69490786,53.30509214,2.95803085,1
1.24889077,246.47251952,246.43943557,53.56056443,2.43942693,1
1.36530918,246.22299456,246.26007933,53.73992067,2.76450877,1
1.49257983,245.97346958,245.94666112,54.05333888,3.08995157,1
1.63171431,245.72394458,245.70929461,54.29070539,2.77262601,1
1.78381856,245.47441955,245.45243976,54.54756024,2.66712862,1
1.95010158,245.22489451,245.23387820,54.76612180,2.71086488,1
2.13188508,244.97536946,244.96922735,55.03077265,2.92080433,1
2.33061397,244.72584439,244.71324402,55.28675598,2.85030159,1
2.54786786,244.47631930,244.46116030,55.53883970,3.15069785,1
2.78537361,244.22679421,244.15163126,55.84836874,3.01196760,1
3.04501904,243.97726910,243.92427625,56.07572375,2.21203315,1
3.32886795,243.72774398,243.75733573,56.24266427,2.41850224,1
3.63917654,243.47821885,243.49317755,56.50682245,3.04141720,1
3.97841130,243.22869372,243.21520228,56.78479772,2.61072709,1
4.34926866,242.97916857,243.02781473,56.97218527,2.48834980,1
4.75469640,242.72964342,242.77165324,57.22834676,2.94933032,1
5.19791708,242.48011826,242.50209578,57.49790422,3.06980380,1
5.68245366,242.23059310,242.22445986,57.77554014,3.03593793,1
6.21215750,241.98106793,241.96093901,58.03906099,2.75171163,1
6.79123899,241.73154275,241.73396651,58.26603349,2.59390069,1
7.42430098,241.48201758,241.49857549,58.50142451,2.80149376,1
8.11637539,241.23249239,241.23459947,58.76540053,3.16362463,1
8.87296321,240.98296721,240.93465853,59.06534147,2.67224487,1
9.70007823,240.73344201,240.75827108,59.24172892,2.40972409,1
10.60429479,240.48391682,240.50512454,59.49487546,2.93743649,1
11.59280012,240.23439162,240.23467222,59.76532778,3.03240293,1
12.67345140,239.98486642,239.96459788,60.03540212,2.68559912,1
13.85483823,239.73534122,239.75596343,60.24403657,2.82896851,1
15.14635094,239.48581602,239.46033347,60.53966653,3.19134007,1
16.55825516,239.23629081,239.18710618,60.81289382,2.68973510,1
18.10177350,238.98676560,238.98088744,61.01911256,2.11830048,1
19.78917469,238.73724039,238.80951854,61.19048146,2.93835987,1
21.63387111,238.48771518,238.45712398,61.54287602,3.17692509,1
23.65052543,238.23818997,238.24323076,61.75676924,2.83308086,1
25.85516712,237.98866475,237.95212653,62.04787347,2.87252812,1
28.26531990,237.73913954,237.73120183,62.26879817,2.78947015,1
30.90014097,237.48961432,237.45490271,62.54509729,2.94548487,1
33.78057334,237.24008910,237.20616834,62.79383166,2.83226723,1
36.92951228,236.99056389,236.95005029,63.04994971,2.61239683,1
40.37198728,236.74103867,236.74050788,63.25949212,2.56186863,1
44.13536103,236.49151345,236.49339650,63.50660350,2.75709941,1
48.24954688,236.24198823,236.24905415,63.75094585,2.78422817,1
52.74724665,235.99246300,235.99710706,64.00289294,3.06937539,1
57.66421053,235.74293778,235.70193714,64.29806286,3.00656073,1
63.03952125,235.49341256,235.46118678,64.53881322,2.58040971,1
68.91590473,235.24388734,235.24197839,64.75802161,2.36640981,1
75.34006970,234.99436211,235.03937358,64.96062642,2.96858696,1
82.36307896,234.74483689,234.71282695,65.28717305,3.16228777,1
90.04075523,234.49531166,234.47569491,65.52430509,2.31639670,1
98.43412492,234.24578644,234.29992859,65.70007141,2.74173553,1
107.60990313,233.99626121,233.98697980,66.01302020,2.96416235,0
117.64102400,233.74673599,233.77156584,66.22843416,2.64368270,0
128.60722039,233.49721076,233.51574262,66.48425738,3.24903571,0
140.59565765,233.24768554,233.19242432,66.80757568,2.79549479,0
153.70162647,232.99816031,233.01744490,66.98255510,2.32235516,0
168.02930030,232.74863508,232.77846387,67.22153613,3.35656397,0
183.69256337,232.49910986,232.41913645,67.58086355,2.99990311,0
200.81591588,232.24958463,232.24373032,67.75626968,2.29296072,0
219.53546368,232.00005940,232.01041557,67.98958443,2.74468795,0
240.00000000,231.75053418,231.75448893,68.24551107,,0
