Shut-in Time h,Horner Ratio,ln Horner Ratio,Pressure Exact bar,Pressure Observed bar,Horner Fit bar,Horner Fit Window
0.03556976,6748.30398006,8.81704649,275.31486946,275.32477352,275.30311917,0
0.03907499,6143.03598167,8.72307436,275.57795496,275.59892368,275.56640901,0
0.04292564,5592.06364729,8.62910367,275.84103733,275.83598765,275.82969482,0
0.04715576,5090.51637558,8.53513455,276.10411609,276.08513334,276.09297620,0
0.05180273,4633.96048325,8.44116718,276.36719072,276.35840498,276.35625271,0
0.05690764,4218.36001133,8.34720171,276.63026069,276.65520541,276.61952389,0
0.06251561,3840.04104718,8.25323833,276.89332540,276.88369124,276.88278919,0
0.06867622,3495.65924710,8.15927726,277.15638422,277.17857373,277.14604804,0
0.07544393,3182.17027227,8.06531872,277.41943648,277.39833811,277.40929981,0
0.08287857,2896.80287680,7.97136295,277.68248142,277.66500079,277.67254380,0
0.09104585,2637.03440985,7.87741024,277.94551824,277.93314761,277.93577925,0
0.10001798,2400.56851538,7.78346087,278.20854606,278.17726425,278.19900530,0
0.10987427,2185.31483234,7.68951519,278.47156392,278.49463318,278.46222104,0
0.12070185,1989.37051586,7.59557354,278.73457078,278.76517608,278.72542545,0
0.13259643,1811.00341609,7.50163634,278.99756550,278.97352917,278.98861742,0
0.14566317,1648.63676595,7.40770402,279.26054682,279.27542425,279.25179572,0
0.16001758,1500.83524251,7.31377706,279.52351337,279.51991446,279.51495901,0
0.17578654,1366.29227871,7.21985598,279.78646367,279.76751311,279.77810580,0
0.19310945,1243.81851330,7.12594137,280.04939606,280.04579277,280.04123448,0
0.21213945,1132.33127690,7.03203386,280.31230874,280.29155209,280.30434327,1
0.23304477,1030.84502113,6.93813415,280.57519976,280.55389248,280.56743020,1
0.25601021,938.46260640,6.84424301,280.83806694,280.80903737,280.83049312,1
0.28123878,854.36737118,6.75036128,281.10090791,281.08191503,281.09352968,1
0.30895351,777.81591267,6.65648988,281.36372007,281.35605196,281.35653729,1
0.33939938,708.13151518,6.56262983,281.62650056,281.63360224,281.61951310,1
0.37284555,644.69816786,6.46878225,281.88924626,281.92962025,281.88245397,1
0.40958768,586.95511926,6.37494836,282.15195372,282.16129693,282.14535650,1
0.44995057,534.39192021,6.28112950,282.41461917,282.41407409,282.40821689,1
0.49429103,486.54391146,6.18732716,282.67723847,282.64344157,282.67103103,1
0.54300102,442.98811609,6.09354294,282.93980708,282.95354239,282.93379436,1
0.59651115,403.33950042,5.99977864,283.20232002,283.19203293,283.19650191,1
0.65529445,367.24757025,5.90603620,283.46477180,283.43789477,283.45914821,1
0.71987055,334.39327253,5.81231776,283.72715642,283.74588494,283.72172725,1
0.79081032,304.48617492,5.71862568,283.98946731,283.98579585,283.98423244,1
0.86874086,277.26189835,5.62496254,284.25169722,284.22291510,284.24665656,1
0.95435108,252.47977993,5.53133117,284.51383823,284.52427781,284.50899167,1
1.04839777,229.92074547,5.43773466,284.77588165,284.77749935,284.77122908,1
1.15171231,209.38537285,5.34417644,285.03781792,285.02595150,285.03335923,1
1.26520800,190.69212916,5.25066024,285.29963659,285.28505583,285.29537166,1
1.38988814,173.67576594,5.15719015,285.56132618,285.51769166,285.55725489,1
1.52685491,158.18585833,5.06377066,285.82287412,285.80363697,285.81899634,1
1.67731909,144.08547541,4.97040670,286.08426661,286.08367053,286.08058220,1
1.84261079,131.24996962,4.87710367,286.34548856,286.36353616,286.34199737,1
2.02419119,119.56587496,4.78386747,286.60652339,286.59153024,286.60322528,1
2.22366547,108.92990391,4.69070459,286.86735299,286.88332633,286.86424777,1
2.44279696,99.24803436,4.59762211,287.12795749,287.15677882,287.12504499,1
2.68352281,90.43467850,4.50462781,287.38831516,287.36405314,287.38559518,1
2.94797103,82.41192615,4.41173016,287.64840221,287.67859622,287.64587454,1
3.23847935,75.10885610,4.31893848,287.90819262,287.88870483,287.90585702,1
3.55761586,68.46090914,4.22626291,288.16765793,288.19772091,288.16551415,1
3.90820173,62.40931734,4.13371458,288.42676703,288.40870334,288.42481481,1
4.29333614,56.90058456,4.04130561,288.68548596,288.70778696,288.68372500,1
4.71642369,51.88601356,3.94904927,288.94377762,288.92255419,288.94220758,1
5.18120448,47.32127545,3.85695999,289.20160151,289.19983454,289.20022205,1
5.69178717,43.16601792,3.76505356,289.45891350,289.43982449,289.45772424,1
6.25268533,39.38350844,3.67334716,289.71566548,289.71593971,289.71466599,1
6.86885728,35.94030959,3.58185950,289.97180506,289.99435690,289.97099488,1
7.54575001,32.80598345,3.49061092,290.22727526,290.20055156,290.22665390,1
8.28934725,29.95282254,3.39962356,290.48201413,290.49177005,290.48158104,1
9.10622241,27.35560490,3.30892144,290.73595443,290.70246887,290.73570901,1
10.00359668,24.99137108,3.21853061,290.98902320,291.01647555,290.98896482,1
10.98940284,22.83922125,3.12847929,291.24114144,291.26807290,291.24126938,1
12.07235544,20.88013036,3.03879801,291.49222369,291.50311832,291.49253718,1
13.26202780,19.09678004,2.94951974,291.74217761,291.73880409,291.74267582,1
14.56893662,17.47340545,2.86068004,291.99090367,292.04096098,291.99158568,1
16.00463500,15.99565594,2.77231718,292.23829469,292.23272696,292.23915953,1
17.58181453,14.65046819,2.68447229,292.48423556,292.44319277,292.48528214,1
19.31441748,13.42595073,2.59718946,292.72860285,292.73101018,292.72983001,1
21.21776010,12.31127880,2.51051582,292.97126455,292.96832718,292.97267103,1
23.30866794,11.29659870,2.42450168,293.21207984,293.19192236,293.21366427,1
25.60562465,10.37294064,2.33920055,293.45089890,293.44576183,293.45265980,1
28.12893536,9.53213948,2.25466919,293.68756284,293.68671424,293.68949862,1
30.90090616,8.76676253,2.17096759,293.92190370,293.89216800,293.92401265,1
33.94604130,8.07004383,2.08815891,294.15374459,294.16386139,294.15602486,1
37.29125982,7.43582440,2.00630946,294.38289996,294.40919758,294.38534956,1
40.96613347,6.85849773,1.92548843,294.60917601,294.59292989,294.61179281,1
45.00314818,6.33296024,1.84576778,294.83237131,294.83229657,294.83515304,1
49.43799120,5.85456618,1.76722190,295.05227760,295.08049958,295.05522182,1
54.30986660,5.41908653,1.68992726,295.26868075,295.25378566,295.27178488,1
59.66184180,5.02267166,1.61396199,295.48136206,295.47337016,295.48462334,1
65.54122832,4.66181724,1.53940534,295.69009964,295.71611491,295.69351516,1
72.00000000,4.33333333,1.46633707,295.89467017,295.91384801,295.89823684,0
